##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3_2B_control_S3_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6873509
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	30-31	0.14267577869473058
1106	32-33	0.15636232818021512
1106	34-35	0.10543787992838105
1106	36-37	0.07517923759630207
1106	38-39	0.14562144172123936
1106	40-41	0.11322482886547647
1106	42-43	0.11931943865965877
1106	44-45	0.15734082186196474
1106	46-47	0.12801710795211108
1106	48-49	0.09016586246340808
1106	50-51	0.08028104017677862
1106	52-53	0.17772744847562905
1106	54-55	0.0751368024369512
1106	56-57	0.13395485301230536
1106	58-59	0.11714405210000933
1106	60-61	0.1007817500624455
1106	62-63	0.17927687999586794
1106	64-65	0.22942856123550115
1106	66-67	0.11575585651426934
1106	68-69	0.19868904036680135
1106	70-71	0.24365584157865072
1106	72-73	0.26449152763986916
1106	74-75	0.17189734317577887
1106	76-77	0.08331613780650571
1106	78-79	0.21722614049380695
1106	80-81	0.24982610680558537
1106	82-83	0.20585924023148294
1106	84-85	0.19838585522622765
1106	86-87	0.16491503320304446
1106	88-89	0.3844912684221242
1106	90-91	0.4366254510091423
1106	92-93	0.39960855193422873
1106	94-95	0.4838954270360105
1106	96-97	0.3634074567884724
1106	98-99	0.6218603119603259
1106	100-101	0.5308819682525225
1107	1	-0.29685650598943525
1107	2	0.01818245362142079
1107	3	-0.4278143529760996
1107	4	0.04708030085528492
1107	5	0.09358549661970983
1107	6	0.0054865472548186744
1107	7	0.00912480577206054
1107	8	-0.0399488719674892
1107	9	0.040869436115599456
1107	10-11	0.0634767556793534
1107	12-13	0.053295218437035885
1107	14-15	0.0016032457601298233
1107	16-17	0.08613544247926797
1107	18-19	0.04761221740239563
1107	20-21	0.09015844721778876
1107	22-23	0.034581875368033366
1107	24-25	0.06519548749731996
1107	26-27	0.055281629501116925
1107	28-29	0.09178222202643838
1107	30-31	0.07881391134526439
1107	32-33	0.0595064089129167
1107	34-35	0.04491479885282246
1107	36-37	0.06606949853501476
1107	38-39	0.04292853558963117
1107	40-41	0.02397247899459387
1107	42-43	0.015334916621753791
1107	44-45	0.1048712385711923
1107	46-47	0.07369473308402519
